TRADEDATE,PRICE,OPEN,HIGH,LOW,CHANGEPERC
04.02.2022,"1,3529","1,3598","1,3616","1,3504","-0,49%"
03.02.2022,"1,3595","1,3577","1,3629","1,3537","0,13%"
02.02.2022,"1,3577","1,3516","1,3589","1,3515","0,42%"
01.02.2022,"1,3520","1,3447","1,3530","1,3433","0,56%"
31.01.2022,"1,3445","1,3399","1,3462","1,3386","0,31%"
28.01.2022,"1,3404","1,3381","1,3434","1,3363","0,14%"
27.01.2022,"1,3385","1,3465","1,3470","1,3357","-0,56%"
26.01.2022,"1,3461","1,3493","1,3526","1,3443","-0,26%"
25.01.2022,"1,3496","1,3487","1,3520","1,3435","0,08%"
24.01.2022,"1,3485","1,3556","1,3566","1,3439","-0,51%"
21.01.2022,"1,3554","1,3600","1,3604","1,3544","-0,30%"
20.01.2022,"1,3595","1,3612","1,3663","1,3585","-0,08%"
19.01.2022,"1,3606","1,3595","1,3650","1,3586","0,09%"
18.01.2022,"1,3594","1,3647","1,3663","1,3572","-0,37%"
17.01.2022,"1,3645","1,3675","1,3692","1,3636","-0,20%"
14.01.2022,"1,3673","1,3707","1,3744","1,3652","-0,23%"
13.01.2022,"1,3705","1,3700","1,3750","1,3699","0,03%"
12.01.2022,"1,3701","1,3635","1,3715","1,3621","0,48%"
11.01.2022,"1,3635","1,3576","1,3637","1,3561","0,44%"
10.01.2022,"1,3575","1,3589","1,3605","1,3532","-0,07%"
07.01.2022,"1,3585","1,3532","1,3598","1,3527","0,42%"
06.01.2022,"1,3528","1,3556","1,3561","1,3489","-0,19%"
05.01.2022,"1,3554","1,3534","1,3600","1,3521","0,16%"
04.01.2022,"1,3532","1,3474","1,3558","1,3458","0,45%"
03.01.2022,"1,3471","1,3531","1,3543","1,3431","-0,43%"
31.12.2021,"1,3529","1,3496","1,3551","1,3465","0,26%"
30.12.2021,"1,3494","1,3488","1,3522","1,3454","0,06%"
29.12.2021,"1,3486","1,3436","1,3500","1,3408","0,39%"
28.12.2021,"1,3434","1,3442","1,3463","1,3414","-0,02%"
27.12.2021,"1,3437","1,3387","1,3446","1,3387","0,39%"
24.12.2021,"1,3385","1,3410","1,3422","1,3384","-0,14%"
23.12.2021,"1,3404","1,3354","1,3439","1,3341","0,42%"
22.12.2021,"1,3348","1,3262","1,3364","1,3240","0,63%"
21.12.2021,"1,3265","1,3207","1,3272","1,3197","0,44%"
20.12.2021,"1,3207","1,3247","1,3247","1,3172","-0,26%"
17.12.2021,"1,3242","1,3322","1,3341","1,3230","-0,58%"
16.12.2021,"1,3319","1,3259","1,3376","1,3240","0,42%"
15.12.2021,"1,3263","1,3240","1,3284","1,3171","0,19%"
14.12.2021,"1,3238","1,3218","1,3257","1,3190","0,17%"
13.12.2021,"1,3216","1,3237","1,3270","1,3206","-0,40%"
10.12.2021,"1,3269","1,3220","1,3277","1,3187","0,38%"
09.12.2021,"1,3219","1,3205","1,3224","1,3170","0,08%"
08.12.2021,"1,3209","1,3243","1,3262","1,3167","-0,25%"
07.12.2021,"1,3242","1,3265","1,3291","1,3209","-0,17%"
06.12.2021,"1,3264","1,3245","1,3288","1,3218","0,25%"
03.12.2021,"1,3231","1,3309","1,3312","1,3209","-0,56%"
02.12.2021,"1,3306","1,3280","1,3335","1,3271","0,22%"
01.12.2021,"1,3277","1,3299","1,3353","1,3261","-0,14%"
30.11.2021,"1,3295","1,3314","1,3372","1,3195","-0,12%"
29.11.2021,"1,3311","1,3342","1,3364","1,3286","-0,22%"
26.11.2021,"1,3340","1,3320","1,3369","1,3278","0,15%"
25.11.2021,"1,3320","1,3328","1,3355","1,3305","-0,04%"
24.11.2021,"1,3325","1,3378","1,3391","1,3316","-0,37%"
23.11.2021,"1,3374","1,3395","1,3411","1,3341","-0,16%"
22.11.2021,"1,3396","1,3455","1,3460","1,3384","-0,42%"
19.11.2021,"1,3452","1,3492","1,3511","1,3407","-0,27%"
18.11.2021,"1,3488","1,3484","1,3515","1,3463","0,06%"
17.11.2021,"1,3480","1,3431","1,3498","1,3396","0,39%"
16.11.2021,"1,3427","1,3423","1,3474","1,3405","0,07%"
15.11.2021,"1,3418","1,3423","1,3450","1,3403","0,04%"
12.11.2021,"1,3413","1,3373","1,3427","1,3353","0,31%"
11.11.2021,"1,3371","1,3405","1,3434","1,3358","-0,22%"
10.11.2021,"1,3401","1,3558","1,3566","1,3400","-1,13%"
09.11.2021,"1,3554","1,3563","1,3609","1,3523","-0,05%"
08.11.2021,"1,3561","1,3498","1,3581","1,3449","0,50%"
05.11.2021,"1,3494","1,3494","1,3510","1,3424","-0,03%"
04.11.2021,"1,3498","1,3686","1,3699","1,3470","-1,36%"
03.11.2021,"1,3684","1,3612","1,3693","1,3606","0,51%"
02.11.2021,"1,3614","1,3665","1,3680","1,3605","-0,42%"
01.11.2021,"1,3672","1,3683","1,3694","1,3642","-0,14%"
29.10.2021,"1,3691","1,3791","1,3805","1,3668","-0,70%"
28.10.2021,"1,3788","1,3749","1,3816","1,3721","0,31%"
27.10.2021,"1,3746","1,3769","1,3782","1,3708","-0,15%"
26.10.2021,"1,3766","1,3769","1,3830","1,3757","-0,01%"
25.10.2021,"1,3768","1,3755","1,3793","1,3741","0,12%"
22.10.2021,"1,3751","1,3792","1,3816","1,3736","-0,29%"
21.10.2021,"1,3791","1,3824","1,3835","1,3776","-0,24%"
20.10.2021,"1,3824","1,3797","1,3836","1,3742","0,21%"
19.10.2021,"1,3795","1,3728","1,3835","1,3722","0,51%"
18.10.2021,"1,3725","1,3751","1,3766","1,3708","-0,17%"
15.10.2021,"1,3749","1,3673","1,3774","1,3667","0,56%"
14.10.2021,"1,3673","1,3657","1,3736","1,3654","0,10%"
13.10.2021,"1,3659","1,3588","1,3665","1,3576","0,54%"
12.10.2021,"1,3585","1,3599","1,3638","1,3569","-0,07%"
11.10.2021,"1,3595","1,3613","1,3675","1,3584","-0,12%"
08.10.2021,"1,3611","1,3618","1,3657","1,3583","-0,04%"
07.10.2021,"1,3617","1,3578","1,3640","1,3570","0,27%"
06.10.2021,"1,3580","1,3632","1,3637","1,3543","-0,36%"
05.10.2021,"1,3629","1,3615","1,3649","1,3584","0,12%"
04.10.2021,"1,3613","1,3548","1,3641","1,3532","0,50%"
01.10.2021,"1,3545","1,3472","1,3577","1,3434","0,54%"
30.09.2021,"1,3472","1,3424","1,3519","1,3415","0,37%"
29.09.2021,"1,3422","1,3535","1,3556","1,3412","-0,83%"
28.09.2021,"1,3534","1,3699","1,3719","1,3520","-1,18%"
27.09.2021,"1,3695","1,3680","1,3729","1,3657","0,10%"
24.09.2021,"1,3682","1,3721","1,3737","1,3657","-0,25%"
23.09.2021,"1,3716","1,3628","1,3751","1,3612","0,67%"
22.09.2021,"1,3625","1,3658","1,3691","1,3609","-0,25%"
21.09.2021,"1,3659","1,3657","1,3693","1,3641","0,01%"
20.09.2021,"1,3657","1,3746","1,3755","1,3640","-0,62%"
17.09.2021,"1,3742","1,3792","1,3814","1,3727","-0,33%"
16.09.2021,"1,3788","1,3837","1,3853","1,3764","-0,35%"
15.09.2021,"1,3837","1,3811","1,3855","1,3792","0,22%"
14.09.2021,"1,3806","1,3835","1,3914","1,3802","-0,22%"
13.09.2021,"1,3836","1,3843","1,3852","1,3796","-0,02%"
10.09.2021,"1,3839","1,3838","1,3889","1,3826","0,03%"
09.09.2021,"1,3835","1,3770","1,3864","1,3753","0,49%"
08.09.2021,"1,3768","1,3788","1,3792","1,3726","-0,10%"
07.09.2021,"1,3782","1,3836","1,3858","1,3767","-0,38%"
06.09.2021,"1,3834","1,3863","1,3871","1,3819","-0,22%"
03.09.2021,"1,3865","1,3833","1,3893","1,3817","0,26%"
