BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME
RTSI,WHFOB,2021-06-01,WHFOB,Индекс пшеницы FOB регион Черного моря,242.1,242.1,242.1,242.1,201787052.23,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-31,WHFOB,Индекс пшеницы FOB регион Черного моря,241.6,241.6,241.6,241.6,195984166.0,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-28,WHFOB,Индекс пшеницы FOB регион Черного моря,240.3,240.3,240.3,240.3,155369956.0,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-27,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,154462456.0,0.0,0.0,1,0.0,USD,0.0,3,
RTSI,WHFOB,2021-05-26,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,,0.0,0.0,1,240.1,USD,1.0,3,
RTSI,WHFOB,2021-05-25,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,,0.0,0.0,1,240.1,USD,1.0,3,
RTSI,WHFOB,2021-05-24,WHFOB,Индекс пшеницы FOB регион Черного моря,240.1,240.1,240.1,240.1,,0.0,0.0,1,240.1,USD,1.0,3,
RTSI,WHFOB,2021-05-21,WHFOB,Индекс пшеницы FOB регион Черного моря,240.4,240.4,240.4,240.4,,0.0,0.0,1,240.4,USD,1.0,3,
RTSI,WHFOB,2021-05-20,WHFOB,Индекс пшеницы FOB регион Черного моря,241.8,241.8,241.8,241.8,,0.0,0.0,1,241.8,USD,1.0,3,
RTSI,WHFOB,2021-05-19,WHFOB,Индекс пшеницы FOB регион Черного моря,242.2,242.2,242.2,242.2,,0.0,0.0,1,242.2,USD,1.0,3,
