TRADEDATE,PRICE,OPEN,HIGH,LOW,VOLUME,CHANGEPERC
04.02.2022,"763,25","754,75","767,25","748,25",-,"1,53%"
03.02.2022,"751,75","754,00","756,50","740,00",-,"-0,43%"
02.02.2022,"755,00","770,00","778,50","749,25",-,"-1,82%"
01.02.2022,"769,00","762,50","776,75","760,50",-,"1,02%"
31.01.2022,"761,25","793,00","798,50","756,75",-,"-3,18%"
28.01.2022,"786,25","777,25","793,50","774,75",-,"1,19%"
27.01.2022,"777,00","794,25","795,50","774,00",-,"-2,26%"
26.01.2022,"795,00","817,25","817,50","787,00",-,"-2,81%"
25.01.2022,"818,00","801,00","831,50","800,50",-,"2,19%"
24.01.2022,"800,50","794,00","802,50","775,75",-,"2,63%"
21.01.2022,"780,00","788,00","791,00","778,00",-,"-1,30%"
20.01.2022,"790,25","794,00","802,75","783,75",-,"-0,78%"
19.01.2022,"796,50","772,00","797,25","769,50",-,"3,58%"
18.01.2022,"769,00","742,25","771,50","741,25",-,"3,71%"
14.01.2022,"741,50","746,00","747,25","737,00","44,59K","-0,70%"
13.01.2022,"746,75","757,00","757,75","741,00",-,"-1,45%"
12.01.2022,"757,75","768,00","770,00","753,50","51,64K","-1,62%"
11.01.2022,"770,25","761,75","770,50","758,25",-,"1,08%"
10.01.2022,"762,00","760,75","767,50","748,00",-,"0,46%"
07.01.2022,"758,50","748,00","760,75","735,50",-,"1,68%"
06.01.2022,"746,00","761,75","762,00","736,00",-,"-1,94%"
05.01.2022,"760,75","771,00","771,50","756,00",-,"-1,20%"
04.01.2022,"770,00","758,00","771,50","756,25",-,"1,58%"
03.01.2022,"758,00","774,00","782,25","752,75",-,"-1,65%"
31.12.2021,"770,75","782,50","787,75","769,50",-,"-1,15%"
30.12.2021,"779,75","789,50","791,75","776,00",-,"-1,02%"
29.12.2021,"787,75","785,25","793,00","774,00",-,"0,54%"
28.12.2021,"783,50","805,75","808,00","781,75",-,"-2,55%"
27.12.2021,"804,00","817,50","824,00","802,50",-,"-1,45%"
24.12.2021,"815,80","815,25","815,80","815,25",-,"0,13%"
23.12.2021,"814,75","812,50","820,50","808,25","36,62K","0,09%"
22.12.2021,"814,00","796,75","817,00","792,00",-,"1,88%"
21.12.2021,"799,00","778,50","799,75","772,50",-,"2,73%"
20.12.2021,"777,75","777,50","778,75","757,75",-,"0,35%"
17.12.2021,"775,00","770,00","780,25","765,25",-,"0,58%"
16.12.2021,"770,50","757,50","773,00","751,25",-,"1,92%"
15.12.2021,"756,00","787,00","787,00","751,00",-,"-3,85%"
14.12.2021,"786,25","788,75","792,00","778,00",-,"0,10%"
13.12.2021,"785,50","779,25","791,00","779,25",-,"0,45%"
10.12.2021,"782,00","769,25","783,25","769,00","0,03K","1,10%"
09.12.2021,"773,50","793,50","793,50","777,00",-,"-2,24%"
08.12.2021,"791,25","799,25","800,00","787,75",-,"-1,00%"
07.12.2021,"799,25","811,00","812,00","796,00",-,"0,28%"
06.12.2021,"797,00","799,75","799,75","784,50",-,"0,31%"
03.12.2021,"794,50","809,50","814,75","799,00","0,10K","-1,49%"
02.12.2021,"806,50","779,50","809,25","779,50",-,"3,60%"
01.12.2021,"778,50","784,00","785,50","774,75","0,48K","0,61%"
30.11.2021,"773,75","808,25","808,25","770,50",-,"-4,18%"
29.11.2021,"807,50","837,75","840,50","805,00",-,"-2,18%"
26.11.2021,"825,50","821,25","830,50","810,00",-,"-1,34%"
24.11.2021,"836,75","856,50","863,25","833,50","46,27K","-2,25%"
23.11.2021,"856,00","846,50","856,50","838,25",-,"1,21%"
22.11.2021,"845,75","827,50","848,50","826,00",-,"2,76%"
19.11.2021,"823,00","821,00","830,75","813,50",-,"0,00%"
18.11.2021,"823,00","823,50","843,12","819,10",-,"0,09%"
17.11.2021,"822,25","812,00","835,00","810,50",-,"1,48%"
16.11.2021,"810,25","827,50","827,50","810,00",-,"-1,94%"
15.11.2021,"826,25","819,75","829,50","813,25",-,"1,13%"
12.11.2021,"817,00","814,25","826,75","805,50",-,"0,55%"
11.11.2021,"812,50","803,00","824,75","798,25",-,"1,18%"
10.11.2021,"803,00","783,00","803,75","778,00",-,"3,15%"
09.11.2021,"778,50","769,25","783,25","764,50",-,"1,37%"
08.11.2021,"768,00","768,25","773,00","762,50",-,"0,20%"
05.11.2021,"766,50","774,75","781,50","765,50","83,64K","-0,94%"
04.11.2021,"773,75","782,00","794,25","772,25","51,27K","-0,93%"
03.11.2021,"781,00","790,50","796,75","777,50","53,18K","-1,33%"
02.11.2021,"791,50","798,50","807,00","789,75","65,89K","-0,72%"
01.11.2021,"797,25","774,50","800,50","768,25","73,03K","3,17%"
29.10.2021,"772,75","773,25","780,00","763,50","48,73K","0,03%"
28.10.2021,"772,50","760,00","780,00","751,50","57,33K","1,68%"
27.10.2021,"759,75","750,50","762,75","745,00","49,84K","1,00%"
26.10.2021,"752,25","763,00","765,00","747,50","53,54K","-0,95%"
25.10.2021,"759,50","759,75","767,00","753,25","42,58K","0,46%"
22.10.2021,"756,00","743,75","759,50","743,50","52,33K","1,99%"
21.10.2021,"741,25","749,75","752,50","738,25","33,63K","-1,07%"
20.10.2021,"749,25","737,00","750,00","736,50","35,08K","1,80%"
19.10.2021,"736,00","736,00","745,25","735,25","37,74K","-0,03%"
18.10.2021,"736,25","734,00","738,75","728,50","31,46K","0,31%"
15.10.2021,"734,00","725,00","740,50","722,25","40,53K","1,28%"
14.10.2021,"724,75","718,75","729,50","718,50","39,59K","0,83%"
13.10.2021,"718,75","736,00","737,75","712,75","57,90K","-2,08%"
12.10.2021,"734,00","731,75","743,75","718,00","57,86K","0,31%"
11.10.2021,"731,75","734,00","739,50","731,00","32,21K","-0,31%"
08.10.2021,"734,00","739,25","746,50","731,75","47,84K","-0,98%"
07.10.2021,"741,25","746,00","752,50","739,50","42,61K","-0,64%"
06.10.2021,"746,00","744,75","756,75","742,25","44,64K","0,17%"
05.10.2021,"744,75","756,25","757,00","743,75","49,15K","-1,55%"
04.10.2021,"756,50","752,25","763,50","748,50","54,75K","0,17%"
01.10.2021,"755,25","725,00","758,50","722,75","85,70K","4,10%"
30.09.2021,"725,50","711,25","732,75","701,25","71,33K","2,15%"
29.09.2021,"710,25","709,25","717,75","708,25","38,93K","0,53%"
28.09.2021,"706,50","722,00","726,75","706,00","54,40K","-2,18%"
27.09.2021,"722,25","723,50","728,50","720,25","32,06K","-0,21%"
24.09.2021,"723,75","718,50","725,75","711,50","47,32K","0,84%"
23.09.2021,"717,75","708,50","719,50","704,00","46,80K","1,70%"
22.09.2021,"705,75","689,50","706,75","688,00","37,48K","2,25%"
21.09.2021,"690,25","700,25","701,00","686,00","43,20K","-1,50%"
20.09.2021,"700,75","708,00","710,75","695,75","37,45K","-1,13%"
17.09.2021,"708,75","713,75","716,00","706,50","33,38K","-0,60%"
16.09.2021,"713,00","711,25","716,75","705,00","40,25K","0,11%"
15.09.2021,"712,25","700,00","714,75","695,25","51,08K","3,98%"
14.09.2021,"685,00","677,25","677,25","677,25","0,00K","1,56%"
13.09.2021,"674,50","671,50","671,50","671,50","0,01K","-0,07%"
10.09.2021,"675,00","682,50","683,75","673,25","0,07K","-0,95%"
09.09.2021,"681,50","700,00","700,00","683,50","0,11K","-2,40%"
08.09.2021,"698,25","704,50","704,50","698,25","0,06K","-1,48%"
07.09.2021,"708,75","718,50","718,50","704,25","0,17K","-2,11%"
06.09.2021,"724,00","724,00","724,00","724,00",-,"1,33%"
03.09.2021,"714,50","702,00","715,00","701,00","0,43K","1,49%"
02.09.2021,"704,00","694,00","708,00","694,00","0,37K","0,43%"
01.09.2021,"701,00","708,25","710,25","699,25","0,55K","-0,81%"
31.08.2021,"706,75","706,50","707,50","690,25","1,67K","-0,28%"
30.08.2021,"708,75","720,50","728,50","707,50","18,32K","-1,36%"
27.08.2021,"718,50","725,75","731,25","717,75","24,92K","-0,93%"
26.08.2021,"725,25","712,50","727,00","709,25","17,85K","1,97%"
25.08.2021,"711,25","718,00","719,75","704,25","21,99K","-0,94%"
24.08.2021,"718,00","722,75","723,25","710,75","28,50K","-0,24%"
23.08.2021,"719,75","712,75","730,75","710,25","21,09K","0,77%"
20.08.2021,"714,25","727,50","732,75","709,25","37,21K","-1,82%"
19.08.2021,"727,50","737,00","737,00","716,00","37,06K","-1,32%"
18.08.2021,"737,25","734,25","740,50","721,75","33,61K","0,37%"
17.08.2021,"734,50","762,50","763,75","732,25","63,61K","-3,42%"
16.08.2021,"760,50","762,50","770,25","757,75","62,05K","-0,23%"
13.08.2021,"762,25","753,00","774,75","747,50","87,10K","1,16%"
12.08.2021,"753,50","724,00","762,00","723,00","109,43K","3,65%"
11.08.2021,"727,00","726,75","732,25","718,75","98,74K","0,00%"
10.08.2021,"727,00","711,00","730,00","708,50","85,50K","2,21%"
09.08.2021,"711,25","719,00","723,75","708,25","84,30K","-1,08%"
06.08.2021,"719,00","712,75","724,75","709,25","85,12K","0,88%"
05.08.2021,"712,75","714,75","725,50","709,75","62,60K","-0,63%"
04.08.2021,"717,25","724,25","738,75","714,50","75,46K","-1,00%"
03.08.2021,"724,50","727,50","734,75","717,75","73,89K","-0,69%"
02.08.2021,"729,50","704,00","731,75","704,00","62,79K","3,66%"
30.07.2021,"703,75","705,00","711,50","695,00","53,64K","-0,21%"
29.07.2021,"705,25","689,75","706,75","689,00","45,52K","2,40%"
28.07.2021,"688,75","675,00","696,25","673,75","49,23K","2,11%"
27.07.2021,"674,50","680,25","690,00","671,75","50,03K","-0,37%"
26.07.2021,"677,00","684,00","684,00","665,50","43,68K","-1,02%"
23.07.2021,"684,00","688,00","696,75","677,50","42,54K","-1,19%"
22.07.2021,"692,25","708,25","709,00","681,75","63,08K","-2,60%"
21.07.2021,"710,75","701,00","712,00","700,00","52,75K","1,46%"
20.07.2021,"700,50","698,75","718,00","698,25","64,01K","0,39%"
19.07.2021,"697,75","702,75","709,50","694,25","74,22K","0,76%"
16.07.2021,"692,50","671,75","696,25","670,75","75,89K","3,05%"
15.07.2021,"672,00","653,75","673,50","651,25","56,84K","4,19%"
